conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,8226E+18;Mon Aug 12 05:17:02 +0000 2024;0;@Jayabay19479190 Emang begitulah...lahh wong sila2 pancasila dan bhineka tunggal ika aja nggk ada di garuda IKN nilai2 bangsa di istana negara aja hilang bijimana mau keberagaman pdhl itu warisan pendiri bangsa salah desain atau sengaja dihilangkan;1,82286E+18;;Jayabay19479190;in;;0;0;0;https://x.com/HafiezSayi92933/status/1822864851729109462;1,75013E+18;HafiezSayi92933
1,82286E+18;Mon Aug 12 05:09:02 +0000 2024;1;Ia menambahkan desain Istana Garuda IKN dirancang berbeda dan tak memiliki kesamaan agar menunjukkan kewibawaan bukan mengarah kepada aura mistis. https://t.co/uJ9W74WOUr;1,82286E+18;;tempodotco;in;Indonesia;2;3;0;https://x.com/tempodotco/status/1822862839851151571;18129942;tempodotco
1,82286E+18;Mon Aug 12 05:09:01 +0000 2024;33;I Nyoman Nuarta tak mempermasalahkan kritik terhadap desain Istana Garuda Ibu Kota Nusantara (IKN) yang dibuatnya. Namun dia berharap agar kritik itu tak dikaitkan dengan isu agama. #tempodotco #tempo #desain #istana #garuda #IKN https://t.co/0ZTfslQcEo;1,82286E+18;https://pbs.twimg.com/media/GUwb7emacAAx4Yy.jpg;;in;Indonesia;8;25;9;https://x.com/tempodotco/status/1822862834306617650;18129942;tempodotco
1,82286E+18;Mon Aug 12 04:51:15 +0000 2024;0;Desain Istana Garuda IKN Libatkan 44 Ahli Nyoman Nuarta: Mereka Sangka Segala Macam Saya yang Kerjakan https://t.co/M8vYgJgkZT;1,82286E+18;;;in;Semarang Barat, Indonesia;0;0;0;https://x.com/50Kuasa/status/1822858362759061751;1,72913E+18;50Kuasa
1,82286E+18;Mon Aug 12 04:50:50 +0000 2024;1;Esensi Desain Istana Garuda IKN Satukan 1300 Suku Di Indonesia Nahan minta maaf gak Kamar Ibu Kota Nusantara https://t.co/HzUwzdyZUR;1,82286E+18;https://pbs.twimg.com/ext_tw_video_thumb/1822857827352031232/pu/img/N6JmcZAhy6WlXikX.jpg;;in;;0;0;1;https://x.com/ainihuusna/status/1822858257859547300;1,80036E+18;ainihuusna
1,82286E+18;Mon Aug 12 04:49:55 +0000 2024;1;Esensi Desain Istana Garuda IKN Satukan 1300 Suku Di Indonesia Airlangga minta maaf gak Bye PKS Dingin https://t.co/bK24wS50nh;1,82286E+18;https://pbs.twimg.com/ext_tw_video_thumb/1822857636708261888/pu/img/zyfZuGGO7lm5BZAt.jpg;;in;;0;0;1;https://x.com/karinachaniaa/status/1822858028787581030;1,68585E+18;karinachaniaa
1,82286E+18;Mon Aug 12 04:48:50 +0000 2024;1;Esensi Desain Istana Garuda IKN Satukan 1300 Suku Di Indonesia Nahan Dingin Airlangga Bye PKS https://t.co/LFwLAF4xbb;1,82286E+18;https://pbs.twimg.com/ext_tw_video_thumb/1822857236357816320/pu/img/Q_ypfKTpJp9VINDM.jpg;;in;;0;0;1;https://x.com/AkifahMazzani/status/1822857755830739280;1,7511E+18;AkifahMazzani
1,82286E+18;Mon Aug 12 04:47:18 +0000 2024;1;Esensi Desain Istana Garuda IKN Satukan 1300 Suku Di Indonesia Nahan Dingin Airlangga Kamar https://t.co/dRjufCwcEd;1,82286E+18;https://pbs.twimg.com/ext_tw_video_thumb/1822857061983731714/pu/img/MdYAD6T0auaVlAdl.jpg;;in;;0;0;1;https://x.com/kesyaasalwaa/status/1822857369313018197;1,80036E+18;kesyaasalwaa
1,82286E+18;Mon Aug 12 04:46:55 +0000 2024;1;Esensi Desain Istana Garuda IKN Satukan 1300 Suku Di Indonesia Nahan minta maaf gak Dingin Airlangga https://t.co/9VBnYmqifJ;1,82286E+18;https://pbs.twimg.com/ext_tw_video_thumb/1822856932694306816/pu/img/qownDfdUtlYzwLpM.jpg;;in;;0;0;1;https://x.com/zakariaoktafia/status/1822857272512635004;1,80034E+18;zakariaoktafia
1,82277E+18;Sun Aug 11 23:15:22 +0000 2024;17;Desain ikonik Istana Garuda IKN dirancang sesuai namanya yakni burung Garuda.Selain menjadi lambang negara representasi Garuda sebagai bentuk bangunan agar tdk ada kecemburuan dari berbagai daerah Medali Giveaway Airlangga Bekasi Dingin INI BENERAN Cuddle Bandung https://t.co/DKDibJp2ek;1,82277E+18;https://pbs.twimg.com/media/GUvLI3ObEAE7_gW.jpg;;in;;2;5;14;https://x.com/Nidyna10/status/1822773834375897098;1,71031E+18;Nidyna10
1,82253E+18;Sun Aug 11 15:51:20 +0000 2024;41;@txtdrimedia Tuai Banyak Kritik Ini Alasan Nyoman Nuarta Pilih Desain Garuda di Istana Garuda IKN https://t.co/pD0goaV6yl;1,82266E+18;;txtdrimedia;in;Indonesia;1;5;2;https://x.com/tempodotco/status/1822662089108066406;18129942;tempodotco
1,82266E+18;Sun Aug 11 15:32:50 +0000 2024;0;Nyoman Nuarta Respon Kritik Terhadap Desain Garuda di Istana Garuda IKN https://t.co/iLCVtxjsIh #nyoman #nuarta #respon #desain #garuda #istana #Ikn;1,82266E+18;;;in;Indonesia;0;0;0;https://x.com/Jurnalpatroli_/status/1822657433304776933;1,50731E+18;Jurnalpatroli_
1,82265E+18;Sun Aug 11 14:49:57 +0000 2024;0;Desain Istana Garuda IKN Satukan Suku Indonesia https://t.co/p4Hj4EUuoc;1,82265E+18;https://pbs.twimg.com/media/GUtXat3bUAEFfmv.jpg;;in;;0;0;0;https://x.com/AshleyReed17787/status/1822646643189309726;1,78204E+18;AshleyReed17787
